2016,2017,2018,2019,2020
8136,7240,6842,7790,7811
16131,16514,15092,13652,16996
6145,6221,7320,7810,9536
9297,10417,13834,9942,10769
5944,5040,6603,5014,4167
7653,5806,7922,6729,7638
6479,3962,2919,3009,2970
13739,10743,11423,12211,12051
1967,1950,1517,2024,2284
6488,5656,5223,5214,4043
6603,5825,4524,4381,4077
54409,51383,58228,56229,62504
27924,30097,27531,27467,29108
2546,2696,2419,2953,3779
17330,20945,23942,25706,29064
14730,11649,12009,10701,13244
5822,7531,9089,6683,6363
4349,4918,4658,5274,4579
6041,7205,8371,13424,14284
4481,4053,3877,5088,4747
1977,2026,2165,2027,3085
2215,2479,2179,1327,1460
8029,9983,10448,13028,12438
5912,5213,4494,5173,4972
6941,3998,3907,3721,6181
3938,3230,2341,1369,3211
15115,13108,13050,14937,12669
6379,2504,3238,3576,3536
170,111,168,162,133
1473,716,1328,1099,772
4883,3390,4808,4725,4658
2521,1519,241,2153,1970
1761,1745,1628,4588,2730
9602,7097,6225,6370,4508
,,,,
,,,,
,,,,
,,,,
